startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1160954106,1160954106,,,malware,,,,,
3233474920,3233474920,,,malware,,,,,
1932477889,1932477889,,,malware,,,,,
3397589297,3397589297,,,malware,,,,,
1370067355,1370067355,,,malware,,,,,
1401256502,1401256502,,,malware,,,,,
3659123461,3659123461,,,malware,,,,,
920268099,920268099,,,malware,,,,,
3558555504,3558555504,,,malware,,,,,
3509816699,3509816699,,,malware,,,,,
2061593189,2061593189,,,malware,,,,,
1306367451,1306367451,,,malware,,,,,
1137868398,1137868398,,,malware,,,,,
3642079462,3642079462,,,malware,,,,,
3495880174,3495880174,,,malware,,,,,
2012583518,2012583518,,,malware,,,,,
2065610884,2065610884,,,malware,,,,,
1540294278,1540294278,,,malware,,,,,
1611768201,1611768201,,,malware,,,,,
2046726612,2046726612,,,malware,,,,,
1160958317,1160958317,,,malware,,,,,
1317801810,1317801810,,,malware,,,,,
3276423620,3276423620,,,malware,,,,,
1581879858,1581879858,,,malware,,,,,
3494655712,3494655712,,,malware,,,,,
1169127746,1169127746,,,malware,,,,,
1161652937,1161652937,,,malware,,,,,
3178277531,3178277531,,,malware,,,,,
1426950293,1426950293,,,malware,,,,,
1578609104,1578609104,,,malware,,,,,
92744491,92744491,,,malware,,,,,
1954511131,1954511131,,,malware,,,,,
2928415076,2928415076,,,malware,,,,,
1315873353,1315873353,,,malware,,,,,
1401827133,1401827133,,,malware,,,,,
92763077,92763077,,,malware,,,,,
3233472452,3233472452,,,malware,,,,,
1652344321,1652344321,,,malware,,,,,
1045179214,1045179214,,,malware,,,,,
92763079,92763079,,,malware,,,,,
3359275929,3359275929,,,malware,,,,,
2106442811,2106442811,,,malware,,,,,
1160956432,1160956432,,,malware,,,,,
1436543279,1436543279,,,malware,,,,,
1844018702,1844018702,,,malware,,,,,
1097064776,1097064776,,,malware,,,,,
3586991639,3586991639,,,malware,,,,,
1049988203,1049988203,,,malware,,,,,
1603986595,1603986595,,,malware,,,,,
1317834418,1317834418,,,malware,,,,,
1310374697,1310374697,,,malware,,,,,
3494635051,3494635051,,,malware,,,,,
2927587055,2927587055,,,malware,,,,,
1536531845,1536531845,,,malware,,,,,
1138227208,1138227208,,,malware,,,,,
3322889137,3322889137,,,malware,,,,,
3633831406,3633831406,,,malware,,,,,
1033802125,1033802125,,,malware,,,,,
3202620753,3202620753,,,malware,,,,,
2928618883,2928618883,,,malware,,,,,
788402462,788402462,,,malware,,,,,
3322692531,3322692531,,,malware,,,,,
1933839768,1933839768,,,malware,,,,,
1401257394,1401257394,,,malware,,,,,
1024719643,1024719643,,,malware,,,,,
3495429605,3495429605,,,malware,,,,,
1600723723,1600723723,,,malware,,,,,
2947999323,2947999323,,,malware,,,,,
3360711086,3360711086,,,malware,,,,,
1539571286,1539571286,,,malware,,,,,
3662388009,3662388009,,,malware,,,,,
1893210443,1893210443,,,malware,,,,,
1540730378,1540730378,,,malware,,,,,
773171497,773171497,,,malware,,,,,
1266604324,1266604324,,,malware,,,,,
3188240619,3188240619,,,malware,,,,,
3002619203,3002619203,,,malware,,,,,
3547854220,3547854220,,,malware,,,,,
1245089778,1245089778,,,malware,,,,,
3133804730,3133804730,,,malware,,,,,
3627316018,3627316018,,,malware,,,,,
1137990621,1137990621,,,malware,,,,,
3233409866,3233409866,,,malware,,,,,
1247534082,1247534082,,,malware,,,,,
1361023835,1361023835,,,malware,,,,,
1581881093,1581881093,,,malware,,,,,
3495154209,3495154209,,,malware,,,,,
1160958533,1160958533,,,malware,,,,,
2727368604,2727368604,,,malware,,,,,
1488917752,1488917752,,,malware,,,,,
3555358084,3555358084,,,malware,,,,,
532730456,532730456,,,malware,,,,,
1994174232,1994174232,,,malware,,,,,
1087332424,1087332424,,,malware,,,,,
3559131402,3559131402,,,malware,,,,,
1076394787,1076394787,,,malware,,,,,
3244945467,3244945467,,,malware,,,,,
3564478751,3564478751,,,malware,,,,,
1822606944,1822606944,,,malware,,,,,
92763097,92763097,,,malware,,,,,
3090345656,3090345656,,,malware,,,,,
2461657864,2461657864,,,malware,,,,,
3391513049,3391513049,,,malware,,,,,
1163465672,1163465672,,,malware,,,,,
3238048532,3238048532,,,malware,,,,,
1539534435,1539534435,,,malware,,,,,
1541362234,1541362234,,,malware,,,,,
3251319347,3251319347,,,malware,,,,,
3286418739,3286418739,,,malware,,,,,
1136890253,1136890253,,,malware,,,,,
1358385070,1358385070,,,malware,,,,,
92763096,92763096,,,malware,,,,,
1541398516,1541398516,,,malware,,,,,
3416938073,3416938073,,,malware,,,,,
2513602131,2513602131,,,malware,,,,,
3252326403,3252326403,,,malware,,,,,
1474645271,1474645271,,,malware,,,,,
1078940430,1078940430,,,malware,,,,,
1348186247,1348186247,,,malware,,,,,
3098404447,3098404447,,,malware,,,,,
1590113739,1590113739,,,malware,,,,,
3558508356,3558508356,,,malware,,,,,
92763086,92763086,,,malware,,,,,
3428690714,3428690714,,,malware,,,,,
1540989598,1540989598,,,malware,,,,,
2919114128,2919114128,,,malware,,,,,
1206605233,1206605233,,,malware,,,,,
1467342076,1467342076,,,malware,,,,,
3508741505,3508741505,,,malware,,,,,
92763073,92763073,,,malware,,,,,
1540339255,1540339255,,,malware,,,,,
2970395473,2970395473,,,malware,,,,,
1999298983,1999298983,,,malware,,,,,
1760947975,1760947975,,,malware,,,,,
3233476136,3233476136,,,malware,,,,,
3369859490,3369859490,,,malware,,,,,
1159513866,1159513866,,,malware,,,,,
886041177,886041177,,,malware,,,,,
3571105820,3571105820,,,malware,,,,,
1434515512,1434515512,,,malware,,,,,
3040016399,3040016399,,,malware,,,,,
1408581605,1408581605,,,malware,,,,,
3533210634,3533210634,,,malware,,,,,
1728610237,1728610237,,,malware,,,,,
1307066898,1307066898,,,malware,,,,,
3641558832,3641558832,,,malware,,,,,
1652712962,1652712962,,,malware,,,,,
400924808,400924808,,,malware,,,,,
1078403898,1078403898,,,malware,,,,,
3158358048,3158358048,,,malware,,,,,
3519556836,3519556836,,,malware,,,,,
3642164537,3642164537,,,malware,,,,,
1045764993,1045764993,,,malware,,,,,
3264405604,3264405604,,,malware,,,,,
1729321271,1729321271,,,malware,,,,,
